PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
07118,2,0,-60.0000,9.535736,0.937061,-2.254324,-0.028391,-0.031449,0.030510,0.015723,-0.008089,-0.001440,0.286740,0.384040,-1.146500,0.095358,0.009372,-0.022539,1.000000,0.000079,-0.000040,-0.000007,0.999948,0.000373,0.010102,0.001169,0.044072,1.157560,0.134392,0.999793,0.002345,-0.020202,-0.002330,0.999997,0.000769,0.020204,-0.000722,0.999796
07119,2,0,-59.0000,9.569470,0.966558,-2.317750,-0.087154,-0.035681,0.080345,0.006076,-0.002703,-0.004705,0.282014,0.385499,-1.156683,0.095695,0.009664,-0.023176,1.000000,0.000030,-0.000014,-0.000024,0.999948,0.000378,0.010127,0.001192,0.044687,1.160408,0.137051,0.999792,0.002391,-0.020252,-0.002376,0.999997,0.000780,0.020253,-0.000731,0.999795
07120,2,0,-59.0000,9.503137,0.854293,-2.301558,-0.048489,0.062417,0.002116,0.004754,0.010140,0.000140,0.285026,0.391428,-1.156629,0.095030,0.008544,-0.023020,1.000000,0.000024,0.000051,0.000001,0.999948,0.000380,0.010085,0.001227,0.044942,1.155579,0.141046,0.999794,0.002461,-0.020167,-0.002446,0.999997,0.000784,0.020169,-0.000735,0.999796
07121,2,0,-60.0000,9.525085,0.872183,-2.233279,0.011285,0.020357,0.009478,0.010662,0.005607,-0.003446,0.284935,0.399812,-1.160366,0.095250,0.008721,-0.022335,1.000000,0.000053,0.000028,-0.000017,0.999948,0.000381,0.010069,0.001275,0.045121,1.153739,0.146512,0.999794,0.002557,-0.020135,-0.002541,0.999996,0.000787,0.020137,-0.000736,0.999797
07122,2,0,-60.0000,9.539191,0.948163,-2.275029,-0.050622,-0.034638,0.039580,0.014661,0.007669,-0.003446,0.275627,0.387472,-1.153951,0.095391,0.009482,-0.022753,1.000000,0.000073,0.000038,-0.000017,0.999949,0.000381,0.010044,0.001332,0.045203,1.150953,0.153100,0.999795,0.002672,-0.020087,-0.002656,0.999996,0.000789,0.020089,-0.000735,0.999798
07123,2,0,-58.0000,9.510767,0.951222,-2.222104,-0.011440,-0.057280,0.000256,0.013118,0.004721,-0.002911,0.287441,0.388890,-1.145159,0.095107,0.009512,-0.022223,1.000000,0.000066,0.000024,-0.000015,0.999949,0.000389,0.010031,0.001391,0.046186,1.149468,0.159831,0.999795,0.002789,-0.020061,-0.002773,0.999996,0.000806,0.020063,-0.000750,0.999798
07124,2,0,-57.0000,9.530821,0.904465,-2.242120,-0.008176,-0.006740,0.019993,0.004542,0.007771,0.004123,0.282704,0.388359,-1.148322,0.095307,0.009047,-0.022425,1.000000,0.000023,0.000039,0.000021,0.999949,0.000412,0.009992,0.001401,0.048847,1.144978,0.161039,0.999796,0.002810,-0.019982,-0.002794,0.999996,0.000852,0.019985,-0.000796,0.999800
07125,2,0,-57.0000,9.479256,0.942665,-2.147094,0.050396,-0.078066,-0.048145,-0.003624,0.001815,0.005241,0.279131,0.391903,-1.153760,0.094792,0.009429,-0.021472,1.000000,-0.000018,0.000009,0.000026,0.999949,0.000443,0.009978,0.001368,0.052282,1.143297,0.157305,0.999797,0.002745,-0.019953,-0.002727,0.999996,0.000912,0.019955,-0.000858,0.999801
07126,2,0,-56.0000,9.530795,0.946726,-2.164558,0.045653,-0.075656,0.006165,-0.006158,0.001950,0.000091,0.282483,0.381193,-1.152782,0.095308,0.009467,-0.021647,1.000000,-0.000031,0.000010,0.000000,0.999949,0.000445,0.009973,0.001322,0.052532,1.142745,0.151966,0.999798,0.002652,-0.019943,-0.002634,0.999996,0.000917,0.019946,-0.000864,0.999801
07127,2,0,-56.0000,9.548684,0.878313,-2.196112,0.046055,-0.000933,0.024466,0.004034,0.002275,0.007480,0.282544,0.385817,-1.153798,0.095486,0.008787,-0.021962,1.000000,0.000020,0.000011,0.000037,0.999949,0.000494,0.009952,0.001324,0.058101,1.140334,0.152260,0.999798,0.002657,-0.019901,-0.002637,0.999996,0.001014,0.019904,-0.000961,0.999801
